dist,car,pt,ride,walk,bike
0,0.0,0.05430395951460708,0.002288095203509997,0.9434079452818829,0.0
100,0.012803895421478575,0.04953519261882109,0.01053343277523665,0.9227258316274175,0.0044016475570461825
200,0.05154193970292044,0.04185771948690316,0.018135115757540534,0.8456867621385007,0.04277846291413518
300,0.08590664436075252,0.03519747970451771,0.02555520383002633,0.7783404667995606,0.07500020530514293
400,0.11610523001607319,0.02993192041557827,0.03262622906569747,0.7195677218861264,0.10176889861652463
500,0.14235269936478961,0.02584798063993637,0.03902052356745889,0.6692664138469024,0.1235123825809127
600,0.16695054121487599,0.021998122478468166,0.044549577354712246,0.623487784668097,0.1430139742838467
700,0.19383181004725974,0.017147633416117535,0.05172461329161471,0.5762610112687215,0.1610349319762864
800,0.2220362002441899,0.01203066404851613,0.06055316946082988,0.5242056352689737,0.18117433097749042
900,0.2504495350566519,0.008671736888355208,0.07097856246215241,0.47196325915567633,0.19793690643716425
1000,0.27498040805466256,0.010124878890214987,0.08118295985629233,0.42676335990241093,0.2069483932964191
1100,0.29176870663924404,0.012982265307392596,0.08968305404694153,0.40096051247680997,0.20460546152961173
1200,0.2996044316654995,0.01973693252469058,0.09523898391527653,0.3890353634771326,0.1963842884174008
1300,0.2933432434253359,0.04216325476650795,0.09712701559256331,0.3794695739708534,0.18789691224473956
1400,0.2794813858813874,0.0723473037820218,0.09621314363216786,0.3698575690959423,0.1821005976084807
1500,0.27902066139309156,0.09032852281657963,0.09439515008258248,0.3609822122046397,0.1752734535031066
1600,0.2887768774980577,0.09294597079665345,0.09326975036951561,0.3565569552118839,0.16845044612388924
1700,0.2964164666437045,0.09769572720744935,0.09286618399365379,0.35137556356442334,0.161646058590769
1800,0.3004685246028954,0.10737458957331876,0.09389016632599174,0.34063985785492146,0.15762686164287254
1900,0.30016470617328755,0.11738814185161796,0.09479702870527498,0.32259415294416727,0.1650559703256523
2000,0.3031043470269981,0.11980861912544702,0.09518358805643605,0.30189509782592583,0.1800083479651931
2100,0.31169513532789006,0.11564245433003129,0.09346735871707865,0.28420085969880216,0.19499419192619788
2200,0.3249117869265328,0.11763484315806383,0.09014104055257748,0.26213467800436113,0.20517765135846464
2300,0.35089023781076695,0.1272192775334196,0.08521615656655412,0.2248747196404364,0.21179960844882295
2400,0.3748915032383303,0.14198968636324433,0.07513556880274903,0.17694678487322424,0.23103645672245207
2500,0.38105045861873005,0.1560157372342514,0.061580979664960206,0.1396187748190475,0.26173404966301084
2600,0.3756734401329284,0.14842715231203057,0.05296621816757707,0.14114962237183476,0.2817835670156292
2700,0.37826648612248515,0.13750922816374206,0.04613761803853962,0.15139889377036456,0.28668777390486855
2800,0.39201288802371725,0.136891966435888,0.040175785434374674,0.15404959708252194,0.2768697630234981
2900,0.40990015773891475,0.14194121369624987,0.03776646960697846,0.15047041868822364,0.25992174026963333
3000,0.4148277814681074,0.14288274539032106,0.03938147158857605,0.14846869645957675,0.2544393050934188
3100,0.38891574594298306,0.15305459246903672,0.0389753828765513,0.15037791562114838,0.2686763630902805
3200,0.35891581521762184,0.17682016478912685,0.04425388625847047,0.1448875389141373,0.2751225948206436
3300,0.3613988004280095,0.19945794695482502,0.07668873970633022,0.12016407202611253,0.2422904408847228
3400,0.3855465771541855,0.2069608670197411,0.11761448995905267,0.09767889902974064,0.19219916683728014
3500,0.4129284968594985,0.1917772761528576,0.14202951122252624,0.09207271037067502,0.16119200539444267
3600,0.4147745415768233,0.17315290029985098,0.14989345923260422,0.10314301315265528,0.15903608573806619
3700,0.40705866764516874,0.16499548793916927,0.15433584939308587,0.11399923294189351,0.1596107620806826
3800,0.4033210006126232,0.16093815743540202,0.16134933006356636,0.12057670988448826,0.15381480200392025
3900,0.40768885847722225,0.15160934939326035,0.17034960272018407,0.12491863750963933,0.1454335518996941
4000,0.41197405488769484,0.14056623712671815,0.17370248197620033,0.13056438384599367,0.143192842163393
4100,0.43177583653885193,0.12663901971080113,0.16422651770007943,0.13168108627353758,0.14567753977673
4200,0.5189316793457306,0.10834260038164592,0.1382445839785525,0.1092261127748539,0.12525502351921705
4300,0.6202441236986062,0.10119146282235919,0.109178596410617,0.07447502434777958,0.09491079272063821
4400,0.687894041225068,0.09233801412181186,0.08980347364988797,0.04676354170694996,0.08320092929628228
4500,0.7126384479782994,0.07943291615844922,0.08452206048908976,0.033862167859751005,0.08954440751441048
4600,0.7036168923098333,0.07037947349397147,0.08055020740422819,0.03646289747741699,0.10899052931455008
4700,0.6951425334402777,0.06369916341468455,0.07579158890282466,0.04065551695235926,0.12471119728985411
4800,0.7033748709545593,0.05493287435403564,0.07157342281075964,0.04109959940265781,0.1290192324779874
4900,0.7124649326915063,0.04881517589488057,0.06794081603164964,0.04076376219196011,0.1300153131900033
5000,0.7058983418820097,0.04888913197518584,0.06264140813149766,0.04324726530843102,0.1393238527028756
5100,0.6760288988574463,0.06445498435976832,0.054057577799768414,0.04796333979351624,0.15749519918950083
5200,0.6423907860258175,0.09714286932224747,0.047420727089970985,0.048960047187668755,0.1640855703742953
5300,0.6384951563514422,0.12254370653500683,0.05351576907889481,0.043820151891876456,0.14162521614277981
5400,0.6779595741710898,0.12268791500936053,0.06932651911378879,0.03357606707706087,0.09644992462870002
5500,0.7054679065910098,0.11847050941942763,0.08190553154398653,0.028130262982246246,0.06602578946332982
5600,0.7070479672925032,0.11465451999677721,0.08947086423399586,0.02987438003326742,0.0589522684434563
5700,0.6959507696914643,0.11909883934794455,0.09347990883937864,0.03228650020450646,0.05918398191670609
5800,0.6627197844621958,0.14994157776444741,0.09315712318110576,0.0325300285480734,0.061651486044177535
5900,0.6188115660209911,0.19325387935780394,0.08995671990375842,0.03246415176768414,0.06551368294976248
6000,0.5797170545830456,0.23429999205044016,0.087026620569473,0.031616645449607766,0.06733968734743354
6100,0.5496409742264535,0.26651437025891356,0.09242384831489166,0.02801631979255421,0.06340448740718696
6200,0.5280987781649119,0.29189086046847257,0.10310306948192906,0.020928796329748468,0.055978495554937856
6300,0.5206596232003403,0.3061197891562391,0.11144534005697722,0.01057392083519025,0.05120132675125316
